"oeuvre","musee","coord"
"Q588695",NA,NA
"Q1169395",NA,NA
"Q1216387",NA,NA
"Q4660880",NA,NA
"Q32234",NA,NA
"Q94006","Q1362629","Point(139.7758498 35.7153567)"
"Q151143","Q165631","Point(13.364722222 52.508611111)"
"Q166937","Q190804","Point(4.885277777 52.36)"
"Q167605","Q25858124","Point(4.885286111 52.360025)"
"Q185372","Q221092","Point(4.314305555 52.080388888)"
"Q386453","Q160236","Point(-73.963333333 40.779444444)"
"Q467359","Q160236","Point(-73.963333333 40.779444444)"
"Q467376","Q682827","Point(-73.967222222 40.771111111)"
"Q523974","Q221092","Point(4.314305555 52.080388888)"
"Q544315","Q19675","Point(2.335833333 48.861111111)"
"Q544315","Q3176133","Point(54.40001 24.533)"
"Q586035","Q190804","Point(4.885277777 52.36)"
"Q614047","Q214867","Point(-77.02 38.891388888)"
"Q641666","Q2018379","Point(-6.25255 53.34091)"
"Q684935","Q160236","Point(-73.963333333 40.779444444)"
"Q700251","Q4890","Point(13.73466 51.05338)"
"Q735061","Q190804","Point(4.885277777 52.36)"
"Q782639","Q165631","Point(13.364722222 52.508611111)"
"Q839359","Q160236","Point(-73.963333333 40.779444444)"
"Q914984","Q214867","Point(-77.02 38.891388888)"
"Q927449","Q942713","Point(-3.195686 55.950902)"
"Q927449","Q942713","Point(-3.195660636 55.950899738)"
"Q958088","Q160236","Point(-73.963333333 40.779444444)"
"Q969367","Q214867","Point(-77.02 38.891388888)"
"Q1169874","Q678082","Point(10.533 52.2635)"
"Q1169874","Q678082","Point(10.533116 52.26352)"
"Q1219698","Q682827","Point(-73.967222222 40.771111111)"
"Q2267440","Q179062","Point(10.82049 49.76274)"
"Q2267440","Q179062","Point(10.820887376 49.76309454)"
"Q2267440","Q180788","Point(-0.128333333 51.508888888)"
"Q2336984","Q42182","Point(-0.142 51.501)"
"Q2624258","Q180788","Point(-0.128333333 51.508888888)"
"Q3739396","Q682827","Point(-73.967222222 40.771111111)"
"Q4358442","Q764804","Point(-0.1675 51.571388888)"
"Q20810246","Q510324","Point(-75.181388888 39.965833333)"
"Q45130","Q163804","Point(8.673028 50.103243)"
"Q45130","Q163804","Point(8.6737 50.1032)"
"Q63692","Q4890","Point(13.73466 51.05338)"
