"oeuvreLabel","museeLabel","coord"
"The Art of Painting",NA,NA
"The Concert",NA,NA
"The Lacemaker",NA,NA
"A Young Woman Seated at the Virginals",NA,NA
"Diana and her Nymphs",NA,NA
"Saint Praxedis","National Museum of Western Art","Point(139.7758498 35.7153567)"
"Woman with a Pearl Necklace","Gemäldegalerie","Point(13.364722222 52.508611111)"
"Woman in Blue Reading a Letter","Rijksmuseum","Point(4.885277777 52.36)"
"The Milkmaid","Gallery of Honour","Point(4.885286111 52.360025)"
"Girl with a Pearl Earring","Mauritshuis","Point(4.314305555 52.080388888)"
"Woman with a Water Jug","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"The Allegory of Faith","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"Officer and Laughing Girl","The Frick Collection","Point(-73.967222222 40.771111111)"
"View of Delft","Mauritshuis","Point(4.314305555 52.080388888)"
"The Astronomer","Louvre Museum","Point(2.335833333 48.861111111)"
"The Astronomer","Louvre Abu Dhabi","Point(54.40001 24.533)"
"The Little Street","Rijksmuseum","Point(4.885277777 52.36)"
"Girl with a Red Hat","National Gallery of Art","Point(-77.02 38.891388888)"
"Lady Writing a Letter with her Maid","National Gallery of Ireland","Point(-6.25255 53.34091)"
"A Girl Asleep","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"Girl Reading a Letter at an Open Window","Gemäldegalerie Alte Meister","Point(13.73466 51.05338)"
"The Love Letter","Rijksmuseum","Point(4.885277777 52.36)"
"The Wine Glass","Gemäldegalerie","Point(13.364722222 52.508611111)"
"Woman with a Lute","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"A Lady Writing a Letter","National Gallery of Art","Point(-77.02 38.891388888)"
"Christ in the House of Martha and Mary","Scottish National Gallery","Point(-3.195686 55.950902)"
"Christ in the House of Martha and Mary","Scottish National Gallery","Point(-3.195660636 55.950899738)"
"Portrait of a Young Woman","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"Woman Holding a Balance","National Gallery of Art","Point(-77.02 38.891388888)"
"The Girl with the Wine Glass","Herzog Anton Ulrich Museum","Point(10.533 52.2635)"
"The Girl with the Wine Glass","Herzog Anton Ulrich Museum","Point(10.533116 52.26352)"
"Girl Interrupted at her Music","The Frick Collection","Point(-73.967222222 40.771111111)"
"A Young Woman seated at a Virginal","Schloss Weißenstein","Point(10.82049 49.76274)"
"A Young Woman seated at a Virginal","Schloss Weißenstein","Point(10.820887376 49.76309454)"
"A Young Woman seated at a Virginal","National Gallery","Point(-0.128333333 51.508888888)"
"The Music Lesson","Buckingham Palace","Point(-0.142 51.501)"
"A Young Woman Standing at a Virginal","National Gallery","Point(-0.128333333 51.508888888)"
"Mistress and Maid","The Frick Collection","Point(-73.967222222 40.771111111)"
"The Guitar Player","Kenwood House","Point(-0.1675 51.571388888)"
"Lady with a Guitar","Philadelphia Museum of Art","Point(-75.181388888 39.965833333)"
"The Geographer","Städel Museum","Point(8.673028 50.103243)"
"The Geographer","Städel Museum","Point(8.6737 50.1032)"
"The Procuress","Gemäldegalerie Alte Meister","Point(13.73466 51.05338)"
